paragraph,text,actor,label
"Abelia er foreningen for kunnskaps- og teknologivirksomheter, med 2900 medlemmer over hele landet. Våre medlemmer er sentrale problemløsere innen forskning, teknologi, innovasjon og kompetanse. Ikke bare er kunnskapsnæringen en stor næring i seg selv, men disse virksomhetene er også avgjørende for omstilling i alle andre næringer og i offentlig sektor, bl.a. som leverandør av ny kunnskap og teknologi.",Abelia har 2900 medlemmer over hele landet. Kunnskapsnæringen er en stor næring i seg selv. Kunnskapsnæringen leverer ny kunnskap og teknologi.,Abelia,Interessegruppe
Innledningsvis vil vi takke for det grundige og omfattende arbeidet utvalget har utført. Denne utredningen gir et betydningsfullt perspektiv på omstillingsutfordringene og på hva slags veivalg Norge må ta for å møte disse utfordringene.,Utredningen gir et betydningsfullt perspektiv på omstillingsutfordringene.,Abelia,Interessegruppe
"Vi er enig med utvalget i at klimapolitikken må favne bredere. Vi er spesielt tilfredse med utvalgets anerkjennelse av behovet for å utvikle nye innovasjonsvirkemidler for å akselerere overgangen til et lavutslippssamfunn. Innovasjon er en nøkkelkomponent i å oppnå klima- og bærekraftsmålene, og det er oppmuntrende å se at utvalget anerkjenner dette og tar konkrete skritt i retning av å fremme mer omstilling og bedre innovasjon.",Klimapolitikken må favne bredere. Innovasjon er en nøkkelkomponent i å oppnå klima- og bærekraftsmålene. Det er oppmuntrende å se at utvalget anerkjenner dette og tar konkrete skritt i retning av å fremme mer omstilling og bedre innovasjon.,Abelia,Interessegruppe
"Over de siste åtte årene har Abelia målt norsk omstillingsevne relativt til verdens mest innovative økonomier. Like sikkert som at Norge hadde et godt utgangspunkt ved inngangen til 2010-tallet, er at pilene nå peker i feil retning. Abelias omstillingsbarometer 2023 viser at Norge taper kampen om de klokeste hodene, ligger etter i bruk av muliggjørende teknologier, og utdanner færre med spisskompetanse innen teknologi. Vi gjør mye for å lage fornybar energi, men lite for å spare på den energien vi har. Selv om vi gjør det bra på flere bærekraftsmål, er norsk økonomi fremdeles konsentrert rundt tradisjonelle næringer som olje og gass. Næringsstrukturen vår er ikke bærekraftig og det vil kreve et virkelig krafttak, i form av omprioritering av ressurser, ny kompetanse og større oppmerksomhet på nye vekstnæringer, for å få til den nødvendige omstillingen.","Norway had a good starting point in 2010, but the indicators now suggest that the country is falling behind in the race for the brightest minds, the use of enabling technologies, and the education of technology experts.', ""Despite doing well on several sustainability metrics, Norway's economy is still concentrated on traditional industries such as oil and gas.""]",Abelia,Interessegruppe
Vi vil gjerne oppfordre til at det blir satt særlig fokus på følgende punkter i oppfølgingen av utvalgets anbefalinger:,Særlig fokus på følgende punkter i oppfølgingen av utvalgets anbefalinger,Abelia,Interessegruppe
"Vi vil spesielt fremheve betydningen av å inkludere sirkulær innovasjon som en sentral del av strategien for å redusere utslipp. Sirkulær innovasjon fokuserer på å minimere avfall og optimalisere ressursutnyttelse gjennom hele livssyklusen til produkter. Dette er en tilnærming som ikke bare er miljøvennlig, men som også kan føre til økt økonomisk effektivitet og skape nye forretningsmuligheter.",Circular innovation focuses on minimizing waste and optimizing resource utilization throughout the entire product lifecycle.,Abelia,Interessegruppe
"Av andre viktige tiltak mener Abelia at det bør utredes en natur- og arealavgift som priser inn de reelle samfunnsøkonomiske kostnadene ved naturinngrep. Formål skal være å motvirke forringelse av naturens evne til å produsere økosystemtjenester, samt styrke arbeidet med å bevare naturmangfoldet.",Det bør utredes en natur- og arealavgift som priser inn de reelle samfunnsøkonomiske kostnadene ved naturinngrep.,Abelia,Interessegruppe
"For øvrig vil vi støtte at oppfølgingen av tiltak også knyttes nært til EUs prosesser, noe utvalget også vektlegger, inklusive sørge for at Norge tar aktivt del i relevante EU-program. Det innebærer også nasjonal medfinansiering i EU-program, som DIGITAL Europa-programmet, for å øke norsk returandel fra EU.",Utvalget vektlegger å sørge for at Norge tar aktivt del i relevante EU-program.,Abelia,Interessegruppe
Vi ser fram til å bidra videre i gjennomføringen av tiltakene som blir foreslått i utredningen. Vi håper at våre innspill kan være med på å styrke strategiene for å oppnå et mer bærekraftig samfunn.,Vi ser fram til å bidra videre i gjennomføringen av tiltakene som blir foreslått i utredningen. Vi håper at våre innspill kan være med på å styrke strategiene for å oppnå et mer bærekraftig samfunn.,Abelia,Interessegruppe
"Advokatforeningens tillitsvalgte advokater utfører et omfattende frivillig og ulønnet arbeid for å ivareta rettsstaten, rettssikkerheten og menneskerettighetene. En del av dette arbeidet består i å utarbeide høringsuttalelser.","Advokatforeningens tillitsvalgte advokater utfører et omfattende frivillig og ulønnet arbeid for å ivareta rettsstaten, rettssikkerheten og menneskerettighetene. Dette arbeidet består i å utarbeide høringsuttalelser. This work includes preparing hearing statements.",Advokatforeningen,Interessegruppe
